postId,Score,userId,CommentCount,Reputation,Views,UpVotes,DownVotes,Outlier
1,23,8.0,1,6764,1089,604,25,Score
16,16,8.0,3,6764,1089,604,25,Score
36,41,8.0,7,6764,1089,604,25,Score
65,14,8.0,3,6764,1089,604,25,Score
78,33,8.0,4,6764,1089,604,25,Score
111,8,8.0,3,6764,1089,604,25,Score
114,30,8.0,1,6764,1089,604,25,Score
168,17,8.0,1,6764,1089,604,25,Score
170,56,8.0,1,6764,1089,604,25,Score
262,13,8.0,7,6764,1089,604,25,Score
271,7,8.0,0,6764,1089,604,25,Score
432,96,8.0,1,6764,1089,604,25,Score
1010,8,8.0,0,6764,1089,604,25,Score
1173,13,8.0,5,6764,1089,604,25,Score
1185,20,8.0,3,6764,1089,604,25,Score
1251,15,8.0,4,6764,1089,604,25,Score
1291,11,8.0,5,6764,1089,604,25,Score
1496,11,8.0,0,6764,1089,604,25,Score
1529,8,8.0,2,6764,1089,604,25,Score
1537,7,8.0,3,6764,1089,604,25,Score
1598,40,8.0,4,6764,1089,604,25,Score
1741,15,8.0,0,6764,1089,604,25,Score
1816,7,8.0,5,6764,1089,604,25,Score
1842,10,8.0,4,6764,1089,604,25,Score
1993,7,8.0,0,6764,1089,604,25,Score
2348,15,8.0,4,6764,1089,604,25,Score
3108,9,8.0,4,6764,1089,604,25,Score
3138,18,8.0,0,6764,1089,604,25,Score
3405,14,8.0,6,6764,1089,604,25,Score
3460,29,8.0,0,6764,1089,604,25,Score
3527,14,8.0,1,6764,1089,604,25,Score
3532,12,8.0,0,6764,1089,604,25,Score
3555,30,8.0,4,6764,1089,604,25,Score
3814,73,8.0,2,6764,1089,604,25,Score
3880,8,8.0,1,6764,1089,604,25,Score
4311,7,8.0,6,6764,1089,604,25,Score
5184,12,8.0,3,6764,1089,604,25,Score
5600,11,8.0,2,6764,1089,604,25,Score
6221,7,8.0,4,6764,1089,604,25,Score
12185,7,8.0,1,6764,1089,604,25,Score
12394,8,8.0,2,6764,1089,604,25,Score
12396,8,8.0,2,6764,1089,604,25,Score
13455,7,8.0,4,6764,1089,604,25,Score
15676,12,8.0,1,6764,1089,604,25,Score
37982,11,8.0,2,6764,1089,604,25,Score
2,22,24.0,1,344,48,36,1,Score
10,23,24.0,4,344,48,36,1,Score
348,-4,24.0,2,344,48,36,1,Score
3,54,18.0,4,128,8,16,0,Score
4,13,23.0,2,308,52,34,1,Score
5,81,23.0,3,308,52,34,1,Score
13,14,23.0,4,308,52,34,1,Score
6,152,5.0,5,6792,1145,662,5,Score
12,20,5.0,1,6792,1145,662,5,Score
32,12,5.0,0,6792,1145,662,5,Score
76,22,5.0,3,6792,1145,662,5,Score
103,28,5.0,6,6792,1145,662,5,Score
108,14,5.0,1,6792,1145,662,5,Score
125,75,5.0,2,6792,1145,662,5,Score
126,26,5.0,4,6792,1145,662,5,Score
131,23,5.0,0,6792,1145,662,5,Score
139,21,5.0,2,6792,1145,662,5,Score
197,9,5.0,1,6792,1145,662,5,Score
299,8,5.0,0,6792,1145,662,5,Score
306,8,5.0,2,6792,1145,662,5,Score
314,11,5.0,1,6792,1145,662,5,Score
329,11,5.0,0,6792,1145,662,5,Score
398,14,5.0,1,6792,1145,662,5,Score
423,156,5.0,7,6792,1145,662,5,Score
433,40,5.0,0,6792,1145,662,5,Score
550,11,5.0,0,6792,1145,662,5,Score
560,9,5.0,2,6792,1145,662,5,Score
562,10,5.0,1,6792,1145,662,5,Score
617,9,5.0,1,6792,1145,662,5,Score
634,7,5.0,0,6792,1145,662,5,Score
772,11,5.0,1,6792,1145,662,5,Score
774,7,5.0,0,6792,1145,662,5,Score
827,13,5.0,6,6792,1145,662,5,Score
1451,8,5.0,1,6792,1145,662,5,Score
1491,10,5.0,3,6792,1145,662,5,Score
1551,8,5.0,4,6792,1145,662,5,Score
1648,18,5.0,1,6792,1145,662,5,Score
1826,26,5.0,1,6792,1145,662,5,Score
1828,17,5.0,3,6792,1145,662,5,Score
1893,10,5.0,0,6792,1145,662,5,Score
1904,11,5.0,0,6792,1145,662,5,Score
1906,7,5.0,3,6792,1145,662,5,Score
1907,7,5.0,0,6792,1145,662,5,Score
2072,13,5.0,2,6792,1145,662,5,Score
2077,21,5.0,0,6792,1145,662,5,Score
2149,22,5.0,0,6792,1145,662,5,Score
2167,11,5.0,3,6792,1145,662,5,Score
2172,15,5.0,3,6792,1145,662,5,Score
2213,15,5.0,2,6792,1145,662,5,Score
2217,95,5.0,1,6792,1145,662,5,Score
2236,9,5.0,1,6792,1145,662,5,Score
2245,24,5.0,2,6792,1145,662,5,Score
2247,10,5.0,1,6792,1145,662,5,Score
2346,26,5.0,2,6792,1145,662,5,Score
2456,16,5.0,4,6792,1145,662,5,Score
2627,10,5.0,1,6792,1145,662,5,Score
2911,16,5.0,3,6792,1145,662,5,Score
3239,15,5.0,5,6792,1145,662,5,Score
3424,7,5.0,5,6792,1145,662,5,Score
3461,7,5.0,5,6792,1145,662,5,Score
3576,7,5.0,2,6792,1145,662,5,Score
5296,24,5.0,1,6792,1145,662,5,Score
6235,12,5.0,6,6792,1145,662,5,Score
6241,17,5.0,2,6792,1145,662,5,Score
6278,20,5.0,3,6792,1145,662,5,Score
7,76,38.0,3,133,15,1,0,Score
9,13,50.0,3,101,3,3,0,Score
371,15,34.0,2,185,27,23,0,Score
103418,10,34.0,0,185,27,23,0,Score
18,31,36.0,1,1570,173,26,1,Score
52,7,36.0,0,1570,173,26,1,Score
117,25,36.0,1,1570,173,26,1,Score
157,7,36.0,3,1570,173,26,1,Score
316,7,36.0,1,1570,173,26,1,Score
440,13,36.0,0,1570,173,26,1,Score
442,7,36.0,0,1570,173,26,1,Score
470,32,36.0,6,1570,173,26,1,Score
1003,8,36.0,0,1570,173,26,1,Score
1005,10,36.0,1,1570,173,26,1,Score
7225,12,36.0,8,1570,173,26,1,Score
7357,16,36.0,0,1570,173,26,1,Score
8044,13,36.0,8,1570,173,26,1,Score
10744,8,36.0,2,1570,173,26,1,Score
14002,42,36.0,0,1570,173,26,1,Score
21071,7,36.0,0,1570,173,26,1,Score
31726,12,36.0,1,1570,173,26,1,Score
15,13,6.0,0,457,114,47,0,Score
9329,9,6.0,4,457,114,47,0,Score
25770,40,6.0,1,457,114,47,0,Score
19,12,55.0,0,366,16,48,1,Score
54,11,55.0,5,366,16,48,1,Score
638,8,59.0,0,402,82,51,0,Score
1252,22,59.0,1,402,82,51,0,Score
1719,7,59.0,1,402,82,51,0,Score
5814,7,59.0,7,402,82,51,0,Score
22,102,66.0,1,614,102,12,0,Score
23,10,69.0,1,530,174,630,6,Score
25,7,69.0,4,530,174,630,6,Score
30,7,69.0,2,530,174,630,6,Score
40,8,69.0,1,530,174,630,6,Score
81,7,69.0,0,530,174,630,6,Score
387,36,69.0,0,530,174,630,6,Score
4254,13,69.0,8,530,174,630,6,Score
24,17,61.0,0,1956,147,39,4,Score
121,71,61.0,6,1956,147,39,4,Score
127,18,61.0,2,1956,147,39,4,Score
188,21,61.0,4,1956,147,39,4,Score
320,14,61.0,0,1956,147,39,4,Score
353,11,61.0,1,1956,147,39,4,Score
376,9,61.0,0,1956,147,39,4,Score
599,9,61.0,0,1956,147,39,4,Score
1319,9,61.0,4,1956,147,39,4,Score
26,18,75.0,14,321,44,4,0,Score
942,15,75.0,0,321,44,4,0,Score
44,8,68.0,1,503,42,10,0,Score
58,10,68.0,0,503,42,10,0,Score
378,11,68.0,0,503,42,10,0,Score
517,13,68.0,2,503,42,10,0,Score
648,13,68.0,7,503,42,10,0,Score
31,66,13.0,3,817,178,44,1,Score
86,8,13.0,5,817,178,44,1,Score
175,29,13.0,1,817,178,44,1,Score
244,17,13.0,4,817,178,44,1,Score
425,88,13.0,0,817,178,44,1,Score
455,27,13.0,1,817,178,44,1,Score
35,10,54.0,0,360,18,21,2,Score
349,8,54.0,5,360,18,21,2,Score
618,15,54.0,6,360,18,21,2,Score
2580,8,54.0,4,360,18,21,2,Score
13346,11,54.0,1,360,18,21,2,Score
41,8,83.0,0,804,64,11,0,Score
118,122,83.0,11,804,64,11,0,Score
42,12,80.0,3,211,16,7,0,Score
185,10,80.0,2,211,16,7,0,Score
43,7,74.0,5,2316,1126,74,65,Score
61,22,74.0,5,2316,1126,74,65,Score
77,16,74.0,7,2316,1126,74,65,Score
104,16,74.0,0,2316,1126,74,65,Score
137,15,74.0,2,2316,1126,74,65,Score
149,8,74.0,0,2316,1126,74,65,Score
162,14,74.0,4,2316,1126,74,65,Score
165,56,74.0,3,2316,1126,74,65,Score
172,10,74.0,1,2316,1126,74,65,Score
178,9,74.0,0,2316,1126,74,65,Score
182,16,74.0,0,2316,1126,74,65,Score
363,52,74.0,2,2316,1126,74,65,Score
453,8,74.0,0,2316,1126,74,65,Score
680,17,74.0,2,2316,1126,74,65,Score
694,66,74.0,1,2316,1126,74,65,Score
1023,7,74.0,1,2316,1126,74,65,Score
1525,11,74.0,3,2316,1126,74,65,Score
1760,36,74.0,0,2316,1126,74,65,Score
1996,11,74.0,1,2316,1126,74,65,Score
2125,26,74.0,3,2316,1126,74,65,Score
2150,17,74.0,4,2316,1126,74,65,Score
2358,9,74.0,0,2316,1126,74,65,Score
2499,18,74.0,4,2316,1126,74,65,Score
4735,8,74.0,0,2316,1126,74,65,Score
5018,7,74.0,1,2316,1126,74,65,Score
5019,39,74.0,0,2316,1126,74,65,Score
5122,20,74.0,6,2316,1126,74,65,Score
5123,19,74.0,3,2316,1126,74,65,Score
5124,40,74.0,6,2316,1126,74,65,Score
5125,34,74.0,0,2316,1126,74,65,Score
5155,35,74.0,2,2316,1126,74,65,Score
5511,7,74.0,0,2316,1126,74,65,Score
5530,7,74.0,1,2316,1126,74,65,Score
10251,10,74.0,10,2316,1126,74,65,Score
11305,18,74.0,2,2316,1126,74,65,Score
50,18,62.0,4,549,90,13,3,Score
269,11,62.0,0,549,90,13,3,Score
279,9,62.0,0,549,90,13,3,Score
295,8,62.0,0,549,90,13,3,Score
